email,password,name,idnumber,balance
admin@gmail.com,Admin14,Bank Admin,0000000,330
a,a,a,a,40
mehmetturan@gmail.com,Ee288452.,Mehmet Turan,12345678,20
erayumut@gmail.com,Ee288452.,Eray Umut,12345,30
ahmetturan@gmail.com,Ee288452.,Ahmet Turan,12345,0
cevdet12@gmail.com,"Cc123456,",Cevdet Abi,12345,10
mahmuttuncer@gmal.com,Aa111111.,Mahmut Tuncer,11111,0
mehmetali@gmail.com,Aa12345.,Mehmet Ali,123456,0
ismail@gmail.com,"Aa123456,",ismail adal,123,10
ibrahimnihat@gmail.com,Aa1234567.,ibrahim nihat,1234,10
eray22@gmail.com,Aa12345.,Ery Ozak,12345678,200
mahmut@gmail.com,Aa12345.,Mahmut Tuncer,1234567,0
ahmetcan@gmail.com,Aa12345.,Ahmet Can,12345,20
mehmetkurt@gmail.com,Mm12345.,Mehmet Kurt,1234567,0
